Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-07-04,75.9,75.9,68.0,73.0,73.0,1839.0,1.36
2016-07-05,74.4,74.4,70.0,73.95,73.95,1054.0,0.77
2016-07-07,73.95,73.95,73.8,73.8,73.8,234.0,0.17
2016-07-08,73.8,75.85,73.7,75.85,74.95,3291.0,2.46
2016-07-11,77.5,80.0,76.1,76.1,77.45,9711.0,7.6
2016-07-12,80.45,81.9,78.5,79.95,79.05,7051.0,5.67
2016-07-13,80.0,80.0,74.55,76.1,76.1,1110.0,0.85
2016-07-14,76.1,77.9,74.0,74.0,74.65,4528.0,3.4
2016-07-15,77.0,80.0,75.35,79.0,78.25,12915.0,10.2
2016-07-18,79.0,82.95,78.25,80.0,80.2,3204.0,2.59
2016-07-19,79.2,84.85,79.2,83.0,82.2,7900.0,6.61
2016-07-20,79.3,80.0,79.3,80.0,80.0,68.0,0.05
2016-07-21,83.4,83.4,83.35,83.4,83.35,150.0,0.13
2016-07-22,80.0,85.0,80.0,82.0,82.3,5124.0,4.23
2016-07-25,85.0,86.5,80.4,83.9,83.9,5089.0,4.29
2016-07-26,83.4,93.9,76.3,89.5,89.6,53179.0,47.05
2016-07-27,93.0,95.0,88.25,88.25,90.15,20317.0,18.55
2016-07-28,93.0,93.0,88.05,89.5,89.65,12902.0,11.72
2016-07-29,87.0,94.0,86.5,90.0,90.5,15441.0,14.1
2016-08-01,89.0,94.95,88.1,91.0,90.8,8629.0,7.97
2016-08-02,91.15,91.2,88.0,89.05,89.95,2633.0,2.36
2016-08-03,90.95,90.95,82.0,85.15,85.9,3742.0,3.23
2016-08-04,85.3,87.0,83.1,83.2,83.45,1340.0,1.13
2016-08-05,86.8,86.8,83.1,84.9,84.75,1256.0,1.06
2016-08-08,83.0,83.5,75.5,78.8,79.15,11867.0,9.36
2016-08-09,82.3,86.25,76.3,79.35,79.45,3827.0,3.06
2016-08-10,78.1,79.95,75.7,77.8,76.4,2490.0,1.92
2016-08-11,79.5,83.0,73.4,74.2,74.05,5206.0,3.97
2016-08-12,75.0,78.8,74.1,77.7,74.8,830.0,0.62
2016-08-16,83.0,83.0,76.1,76.5,76.75,4123.0,3.19
2016-08-17,74.0,80.0,74.0,76.0,76.0,2662.0,2.01
2016-08-18,79.0,79.5,74.0,75.9,75.4,3965.0,3.0
2016-08-19,75.0,77.5,75.0,75.6,75.6,1492.0,1.12
2016-08-22,78.6,80.0,73.05,79.5,78.95,6560.0,4.96
2016-08-23,79.4,79.4,75.5,76.55,76.55,1358.0,1.04
2016-08-24,75.15,77.25,75.0,76.8,76.8,3616.0,2.74
2016-08-25,76.8,81.45,75.55,80.85,80.05,8523.0,6.82
2016-08-26,80.85,80.95,78.25,78.25,78.65,2986.0,2.38
2016-08-29,80.5,80.5,78.0,78.1,78.15,3807.0,2.98
2016-08-30,79.1,80.75,78.0,80.75,78.55,8031.0,6.32
2016-08-31,79.1,79.7,79.0,79.7,79.7,900.0,0.71
2016-09-02,77.0,79.0,77.0,79.0,77.45,1340.0,1.04
2016-09-06,78.8,78.8,75.05,76.85,75.15,5843.0,4.41
2016-09-07,74.5,77.45,74.5,75.1,75.45,7178.0,5.4
2016-09-08,78.5,81.5,75.05,76.5,77.3,2407.0,1.85
2016-09-09,78.0,78.8,75.5,77.0,77.0,808.0,0.62
2016-09-12,75.5,78.75,75.05,78.0,76.0,383.0,0.29
