Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2015-01-20,83.45,87.8,81.0,86.55,86.3,209065.0,177.63
2015-01-21,87.2,99.9,87.2,96.0,96.5,635079.0,606.88
2015-01-22,97.5,97.8,91.0,94.5,94.75,199938.0,188.38
2015-01-23,95.0,95.0,90.4,90.55,91.15,57503.0,53.41
2015-01-27,94.95,94.95,89.5,91.45,90.7,59752.0,53.91
2015-01-28,92.5,95.0,89.2,90.4,90.05,109831.0,100.1
2015-01-29,90.7,93.9,90.0,90.95,90.5,38106.0,34.85
2015-01-30,90.6,92.0,90.0,90.55,90.15,22531.0,20.45
2015-02-02,90.0,95.0,89.65,93.7,93.6,48790.0,44.82
2015-02-03,91.0,95.25,91.0,93.9,93.6,19723.0,18.41
2015-02-04,94.95,104.8,92.8,101.8,101.15,233064.0,235.32
2015-02-05,102.7,103.0,95.35,96.05,96.95,89709.0,89.29
2015-02-06,96.15,103.05,90.4,100.4,98.8,183092.0,180.89
2015-02-09,97.0,97.0,91.25,92.85,92.6,62770.0,58.92
2015-02-10,93.3,96.0,92.0,93.9,93.4,33675.0,31.65
2015-02-11,95.35,96.0,91.05,93.35,93.1,35677.0,33.62
2015-02-12,94.0,94.0,92.2,93.9,92.6,23750.0,22.07
2015-02-13,93.55,95.45,92.1,94.1,94.15,15613.0,14.64
2015-02-16,94.1,98.0,92.45,93.15,93.4,20207.0,18.98
2015-02-18,95.5,95.5,92.5,92.5,93.5,20032.0,18.78
2015-02-19,93.5,93.5,88.5,89.85,90.4,48832.0,44.47
2015-02-20,91.1,93.4,85.1,90.05,90.35,89756.0,80.91
2015-02-23,89.6,91.8,89.5,90.2,90.2,18896.0,17.14
2015-02-24,90.0,91.9,89.2,90.1,90.05,19675.0,17.79
2015-02-25,90.2,92.0,89.65,90.95,90.2,24404.0,22.11
2015-02-26,91.2,91.95,89.6,90.0,90.0,40409.0,36.42
2015-02-27,90.9,91.5,78.1,90.0,90.5,40394.0,36.05
2015-02-28,90.0,91.35,88.35,90.1,90.4,23332.0,21.02
2015-03-02,89.55,90.5,87.65,90.2,89.5,41921.0,37.46
2015-03-03,90.5,103.0,89.1,100.9,98.55,118863.0,114.48
2015-03-04,102.8,104.0,94.0,95.0,95.2,93605.0,93.71
2015-03-05,94.0,103.8,94.0,100.0,99.1,144286.0,145.06
2015-03-09,99.0,99.1,95.9,97.95,98.0,24282.0,23.72
2015-03-10,98.1,100.45,97.2,97.2,98.1,49927.0,49.56
2015-03-11,98.0,99.25,95.35,96.3,96.7,13529.0,13.13
2015-03-12,98.75,98.75,95.2,95.3,95.8,26466.0,25.63
2015-03-13,97.4,97.4,93.3,94.75,94.1,13558.0,12.97
2015-03-16,91.7,96.4,90.8,92.25,92.2,38038.0,35.12
2015-03-17,91.0,94.0,91.0,91.2,92.35,17711.0,16.37
2015-03-18,91.75,93.5,91.5,91.55,91.75,10511.0,9.68
2015-03-19,92.8,94.0,91.5,92.0,92.8,25210.0,23.27
2015-03-20,92.5,92.5,87.55,88.95,89.0,25193.0,22.72
2015-03-23,88.8,89.45,84.0,85.15,85.1,34057.0,29.22
2015-03-24,85.1,89.0,84.1,88.9,87.0,31037.0,26.54
2015-03-25,86.9,86.9,82.0,82.55,82.8,36992.0,30.92
2015-03-26,82.6,84.0,78.85,80.1,80.6,37770.0,30.49
2015-03-27,82.0,87.9,82.0,87.8,85.8,29123.0,24.77
2015-03-30,86.5,88.0,84.1,87.55,87.7,14800.0,12.85
2015-03-31,88.0,91.0,86.5,86.6,87.95,22943.0,20.34
2015-04-01,89.5,91.4,87.5,90.95,91.1,32027.0,28.82
2015-04-06,93.0,93.0,90.0,91.0,91.25,13692.0,12.43
2015-04-07,90.0,97.5,90.0,96.4,95.5,43228.0,40.73
2015-04-08,95.1,100.95,95.1,97.25,97.15,44826.0,44.24
2015-04-09,99.0,99.9,96.15,97.7,97.95,46328.0,45.62
2015-04-10,99.8,99.8,96.9,97.1,97.55,24320.0,23.76
2015-04-13,99.9,99.9,95.0,98.25,96.4,56563.0,54.8
2015-04-15,98.9,100.5,96.2,97.15,96.85,64453.0,63.21
2015-04-16,100.85,100.85,95.1,95.75,96.0,20492.0,19.75
2015-04-17,96.05,98.55,93.75,93.75,94.15,19152.0,18.23
2015-04-20,95.0,95.0,89.15,90.5,89.95,26510.0,24.15
2015-04-21,92.0,92.0,88.8,89.15,89.15,12073.0,10.86
2015-04-22,90.0,91.9,85.1,89.15,88.2,31553.0,27.91
2015-04-23,88.5,91.4,87.0,90.0,90.15,17342.0,15.6
2015-04-24,89.4,90.25,85.55,87.65,86.0,18991.0,16.77
2015-04-27,89.7,89.7,82.5,84.45,83.85,20434.0,17.19
2015-04-28,83.0,86.8,82.25,86.0,85.85,8459.0,7.2
2015-04-29,86.5,91.0,85.2,88.6,89.65,15184.0,13.49
2015-04-30,89.0,91.0,85.65,90.3,89.6,15617.0,13.97
2015-05-04,90.5,93.0,89.65,93.0,92.35,10559.0,9.62
2015-05-05,94.8,94.8,92.0,93.0,92.5,8281.0,7.65
2015-05-06,92.05,92.7,88.0,89.0,88.5,9628.0,8.58
2015-05-07,88.0,88.0,85.3,86.05,86.25,10716.0,9.27
2015-05-08,88.5,91.4,85.1,85.5,86.3,32715.0,28.62
2015-05-11,87.5,89.0,84.55,87.95,87.3,28942.0,25.19
2015-05-12,86.25,88.85,83.15,85.5,85.5,14299.0,12.32
2015-05-13,93.95,96.0,88.5,90.75,90.1,249545.0,229.45
2015-05-14,90.9,92.5,88.6,92.0,91.5,28831.0,26.21
2015-05-15,93.2,96.0,93.05,95.0,94.45,49709.0,47.03
2015-05-18,94.1,95.0,91.0,94.0,93.5,30613.0,28.58
2015-05-19,93.0,95.75,92.2,95.0,93.95,22831.0,21.36
2015-05-20,95.85,96.4,92.25,94.7,94.05,22505.0,21.3
2015-05-21,93.05,94.4,90.7,91.3,92.15,22432.0,20.67
2015-05-22,91.15,92.3,90.6,91.5,91.35,9569.0,8.73
2015-05-25,90.3,93.9,89.35,93.6,92.8,19961.0,18.34
2015-05-26,92.6,96.5,91.6,95.5,94.6,48161.0,45.75
2015-05-27,95.15,97.95,92.1,97.5,97.0,48496.0,46.57
2015-05-28,98.45,98.5,95.15,96.1,96.8,19625.0,19.1
2015-05-29,96.45,97.9,96.05,97.25,96.75,21394.0,20.68
2015-06-01,96.05,100.45,95.85,97.4,97.35,59711.0,58.83
2015-06-02,97.0,99.85,94.1,97.2,96.25,55708.0,53.41
2015-06-03,95.05,97.35,89.0,91.75,92.4,32240.0,29.93
2015-06-04,92.05,96.4,87.55,89.0,90.8,45296.0,41.07
2015-06-05,91.05,96.0,91.0,94.5,94.65,25138.0,23.66
2015-06-08,94.5,94.7,89.15,90.0,89.85,29925.0,27.14
2015-06-09,90.05,92.5,88.25,88.4,89.45,9658.0,8.75
2015-06-10,89.05,92.25,89.0,89.1,89.75,27688.0,24.98
2015-06-11,90.85,93.0,88.25,89.2,88.5,9548.0,8.58
2015-06-12,88.05,91.45,87.25,88.5,89.25,4887.0,4.37
2015-06-15,88.25,91.0,88.0,90.85,90.6,21082.0,18.96
2015-06-16,90.05,94.1,90.0,93.55,93.65,27051.0,24.93
2015-06-17,97.0,105.65,95.2,103.3,102.45,819676.0,834.44
2015-06-18,103.95,109.8,103.15,109.0,107.75,535286.0,575.79
2015-06-19,108.3,114.0,106.15,107.5,107.5,371035.0,408.7
2015-06-22,108.6,109.9,104.5,105.2,106.25,105655.0,112.91
2015-06-23,106.55,106.6,102.0,103.75,103.35,92352.0,95.66
2015-06-24,103.95,108.7,102.4,104.0,104.85,100242.0,106.39
2015-06-25,105.4,105.5,102.55,104.8,104.35,29281.0,30.59
2015-06-26,104.9,121.65,104.9,113.0,111.55,1189355.0,1373.4
2015-06-29,109.5,129.0,107.9,116.0,118.4,1955070.0,2383.78
2015-06-30,118.9,124.45,96.5,104.0,101.05,21272398.0,21772.6
2015-07-01,103.0,109.9,101.15,104.75,104.15,6667476.0,7029.8
2015-07-02,105.15,107.4,101.1,102.3,102.2,1773350.0,1850.81
2015-07-03,103.1,105.2,98.1,103.7,102.2,2230208.0,2262.99
2015-07-06,100.35,112.4,100.35,110.95,110.95,4052577.0,4391.11
2015-07-07,112.5,113.25,106.0,107.5,107.3,1721813.0,1892.11
2015-07-08,105.95,108.75,103.0,105.3,105.55,1223976.0,1291.07
2015-07-09,105.55,111.85,105.25,107.1,107.4,1737801.0,1889.39
2015-07-10,108.2,108.6,104.3,106.0,106.1,584853.0,622.57
2015-07-13,106.85,110.9,106.3,109.85,109.35,1164153.0,1267.37
2015-07-14,109.35,112.75,107.0,107.15,107.55,1033995.0,1135.77
2015-07-15,108.05,109.7,105.55,105.8,106.15,498997.0,536.43
2015-07-16,106.7,109.2,105.7,106.55,106.4,500966.0,536.71
2015-07-17,106.95,110.0,104.95,107.35,107.2,1036817.0,1117.92
2015-07-20,107.95,114.8,106.65,112.0,112.25,2238911.0,2505.34
2015-07-21,112.5,113.2,106.0,106.75,106.8,938476.0,1028.18
2015-07-22,106.7,108.9,106.0,107.5,107.65,388088.0,418.1
2015-07-23,107.7,111.6,107.05,109.3,109.7,926309.0,1013.62
2015-07-24,109.7,110.15,105.1,105.85,105.7,684738.0,733.45
2015-07-27,105.15,106.6,103.1,103.6,103.7,499104.0,522.81
2015-07-28,104.4,107.5,101.0,107.0,106.7,786943.0,825.9
2015-07-29,106.5,109.5,105.1,107.8,107.5,735837.0,793.35
2015-07-30,108.8,112.7,107.7,110.8,110.75,1424024.0,1572.97
2015-07-31,111.0,111.5,107.5,107.75,108.35,445789.0,486.65
2015-08-03,107.6,116.3,107.55,115.9,114.8,1732354.0,1954.93
2015-08-04,116.45,118.7,113.1,115.0,115.45,1629912.0,1896.43
2015-08-05,116.15,117.0,107.7,110.5,110.65,1385736.0,1550.74
2015-08-06,105.0,109.7,103.65,104.75,104.3,1138155.0,1203.73
2015-08-07,105.3,106.8,103.0,103.2,103.4,548112.0,574.03
2015-08-10,103.95,106.95,100.5,101.6,102.1,594637.0,620.04
2015-08-11,103.0,103.75,98.75,100.1,100.1,512485.0,516.32
2015-08-12,99.8,99.95,92.75,93.4,93.8,475082.0,458.3
2015-08-13,94.8,97.8,86.35,91.0,89.65,752261.0,692.55
2015-08-14,91.1,93.8,90.05,93.15,92.8,454421.0,420.74
2015-08-17,93.0,94.35,91.05,91.75,91.6,342723.0,316.86
2015-08-18,92.45,97.8,92.45,95.95,95.9,523634.0,500.27
2015-08-19,95.9,104.5,94.3,103.0,103.05,1452297.0,1470.84
2015-08-20,102.65,109.4,99.8,100.55,101.1,1978378.0,2092.54
2015-08-21,98.85,101.4,95.65,99.4,99.4,504218.0,499.83
2015-08-24,94.8,95.0,87.0,90.0,89.75,765876.0,703.87
2015-08-25,92.0,93.75,80.0,88.25,87.95,707945.0,607.79
2015-08-26,88.3,91.85,84.4,88.0,88.8,275517.0,247.02
2015-08-27,91.9,94.9,90.0,93.75,93.3,319896.0,296.31
2015-08-28,95.5,97.95,90.55,90.9,91.65,491956.0,462.82
2015-08-31,91.9,94.2,91.2,92.5,92.45,183382.0,169.92
2015-09-01,90.9,92.0,88.1,88.8,88.8,232218.0,208.88
2015-09-02,89.9,90.8,87.1,89.0,88.3,379534.0,336.79
2015-09-03,89.4,92.7,89.2,92.5,91.8,278936.0,254.32
2015-09-04,91.0,91.1,85.75,86.7,86.65,241096.0,210.53
2015-09-07,87.0,88.3,84.4,85.1,85.0,240702.0,206.31
