Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2012-05-29,88.45,88.5,85.0,87.1,86.9,42283.0,36.49
2012-05-30,87.0,88.8,87.0,88.0,88.0,40652.0,35.56
2012-05-31,86.95,88.95,86.0,88.95,88.0,104222.0,90.66
2012-06-01,89.9,89.9,86.2,86.2,86.2,52804.0,46.55
2012-06-04,92.8,92.8,86.0,89.25,89.5,54459.0,48.95
2012-06-05,88.9,91.4,86.15,88.35,87.65,49666.0,44.16
2012-06-06,87.0,87.0,85.5,85.55,86.0,53908.0,46.59
2012-06-07,86.25,89.25,86.25,89.25,88.2,26530.0,23.16
2012-06-08,87.35,94.7,85.0,89.0,89.5,136129.0,118.38
2012-06-11,86.9,88.6,85.0,85.0,86.05,23897.0,20.8
2012-06-12,84.0,88.4,82.3,83.0,83.9,20551.0,17.54
2012-06-13,85.0,87.9,83.0,83.2,83.95,63377.0,54.08
2012-06-14,86.6,87.35,83.0,83.05,83.8,40239.0,34.34
2012-06-15,83.05,86.8,82.0,83.5,84.7,51277.0,43.67
2012-06-18,88.9,88.9,80.6,84.0,83.05,79695.0,67.41
2012-06-19,82.6,84.9,82.0,82.0,82.05,47584.0,39.32
2012-06-20,81.1,83.95,81.0,82.0,82.7,36936.0,30.55
2012-06-21,71.3,83.9,71.3,82.0,81.95,53999.0,44.19
2012-06-22,83.85,83.85,81.05,81.05,82.05,62271.0,51.14
2012-06-25,80.4,83.8,80.4,83.0,82.7,63810.0,52.62
2012-06-26,83.75,83.75,81.1,81.5,81.6,76641.0,62.74
2012-06-27,83.95,83.95,81.0,81.0,81.85,26608.0,21.78
2012-06-28,82.0,83.0,81.5,81.5,82.45,49332.0,40.4
2012-06-29,81.55,84.0,81.1,84.0,81.75,45751.0,37.45
2012-07-02,87.75,88.8,81.0,82.75,83.2,66339.0,55.76
2012-07-03,81.1,83.95,81.1,82.95,82.3,35235.0,29.11
2012-07-04,83.95,84.0,81.0,84.0,83.15,59243.0,48.89
2012-07-05,85.0,85.0,81.1,83.0,82.65,36351.0,30.1
2012-07-06,81.0,86.85,81.0,86.0,84.05,90060.0,75.53
2012-07-09,82.55,87.0,82.5,87.0,84.45,48940.0,40.8
2012-07-10,88.85,88.85,81.75,84.4,83.6,50657.0,42.24
2012-07-11,86.6,86.75,82.2,86.0,85.2,36084.0,30.05
2012-07-12,87.85,87.85,82.0,83.1,83.65,72340.0,60.44
2012-07-13,83.45,87.7,82.05,83.7,86.05,65733.0,55.27
2012-07-16,83.95,87.8,83.0,84.0,84.45,106194.0,89.81
2012-07-17,81.3,87.75,81.25,84.95,84.5,66776.0,56.81
2012-07-18,82.1,85.0,82.0,82.4,83.05,55738.0,46.53
2012-07-19,81.0,85.0,81.0,83.2,83.0,32099.0,26.65
2012-07-20,87.6,87.6,81.55,82.05,82.55,43183.0,35.86
2012-07-23,86.85,86.85,81.7,83.0,83.0,66537.0,55.38
2012-07-24,82.3,86.9,82.3,83.5,84.35,36154.0,30.2
2012-07-25,84.9,84.9,82.35,83.0,83.0,31427.0,26.17
2012-07-26,82.25,84.95,81.0,82.35,82.75,37194.0,30.56
2012-07-27,85.25,86.1,83.0,83.0,83.0,92666.0,77.23
2012-07-30,82.1,87.85,81.0,81.5,82.95,90422.0,74.81
2012-07-31,82.2,85.8,82.0,83.0,84.45,50983.0,42.29
2012-08-01,82.15,86.0,82.15,86.0,85.85,83149.0,69.38
2012-08-02,89.9,89.9,81.15,86.0,85.9,80991.0,68.63
2012-08-03,86.95,90.0,83.0,86.5,86.85,96800.0,84.15
2012-08-06,83.05,87.0,83.0,85.0,85.45,146890.0,126.92
2012-08-07,86.95,88.0,84.0,87.0,86.45,41763.0,35.85
2012-08-08,90.0,90.0,82.5,87.0,85.85,68562.0,58.79
2012-08-09,89.9,89.9,82.05,86.9,86.35,350733.0,297.46
2012-08-10,87.15,87.15,83.6,86.9,86.25,40248.0,34.32
2012-08-13,86.95,87.2,83.5,85.8,86.15,110226.0,94.84
2012-08-14,83.6,89.0,83.6,86.1,85.95,90090.0,78.27
2012-08-16,85.1,87.2,84.75,86.0,86.9,82536.0,71.63
2012-08-17,86.95,87.6,84.05,86.5,86.85,60168.0,52.02
2012-08-21,83.1,89.0,83.05,89.0,87.65,82126.0,71.32
2012-08-22,85.3,90.8,85.3,86.25,86.25,96737.0,83.71
2012-08-23,101.9,101.9,85.0,87.7,88.5,80687.0,70.58
2012-08-24,88.95,90.0,86.1,88.0,88.2,30522.0,27.04
2012-08-27,89.45,89.45,85.0,85.55,87.8,90916.0,79.81
2012-08-28,86.0,89.8,86.0,87.1,87.9,102414.0,90.26
2012-08-29,79.25,90.0,79.25,87.7,88.2,60593.0,53.63
2012-08-30,85.0,88.95,85.0,87.35,87.95,58500.0,51.55
2012-08-31,88.95,88.95,86.05,88.0,88.45,55747.0,49.03
2012-09-03,88.95,88.95,86.1,87.0,87.55,113139.0,99.64
2012-09-04,88.95,89.0,86.1,87.75,87.9,76565.0,67.37
2012-09-05,92.85,92.85,86.2,89.6,88.75,78884.0,69.37
2012-09-06,88.95,88.95,86.75,87.95,87.2,126391.0,111.19
2012-09-07,89.65,89.65,87.05,89.0,87.95,96300.0,84.85
2012-09-08,88.0,89.0,86.1,88.0,87.65,21957.0,19.32
2012-09-10,89.0,89.0,86.1,88.95,88.75,121060.0,106.59
2012-09-11,88.45,89.0,87.0,87.0,87.95,44357.0,38.92
2012-09-12,88.85,90.0,88.0,88.7,88.8,118639.0,104.97
2012-09-13,88.85,88.9,88.0,88.0,88.3,67745.0,60.01
2012-09-14,88.95,90.9,84.2,87.05,87.2,109232.0,96.67
2012-09-17,91.85,91.85,86.0,87.5,86.7,118283.0,103.38
2012-09-18,86.0,88.45,86.0,86.15,86.9,76576.0,66.38
2012-09-20,86.85,88.5,86.0,87.0,87.35,157695.0,137.31
2012-09-21,86.2,91.45,86.1,91.45,89.5,72847.0,63.67
2012-09-24,90.55,94.0,88.05,94.0,93.0,140667.0,128.67
2012-09-25,99.45,99.45,92.0,95.0,94.8,132430.0,124.7
2012-09-26,92.5,97.0,92.25,95.0,95.9,139021.0,131.33
2012-09-27,90.2,97.0,90.2,96.0,95.5,49173.0,47.1
2012-09-28,94.05,97.0,94.0,94.0,95.3,73714.0,70.6
2012-10-01,92.0,98.95,92.0,95.5,97.35,161031.0,155.72
2012-10-03,97.5,99.8,87.05,96.5,97.05,150990.0,146.15
2012-10-04,97.0,97.0,94.0,94.7,94.45,116702.0,110.87
2012-10-05,96.0,97.2,88.25,93.7,93.1,132620.0,121.15
2012-10-08,99.0,99.0,86.5,93.25,93.45,201563.0,189.76
2012-10-09,92.0,94.9,92.0,93.1,93.25,242650.0,227.19
2012-10-10,93.25,94.9,91.5,93.5,93.1,115619.0,108.01
2012-10-11,93.15,95.0,92.5,94.25,94.3,168627.0,158.0
2012-10-12,93.0,94.5,91.1,92.55,94.15,102349.0,95.99
2012-10-15,93.2,94.75,91.7,92.1,93.0,166044.0,154.47
2012-10-16,92.8,94.0,92.3,92.35,92.6,78149.0,72.97
2012-10-17,93.75,94.6,90.0,90.2,91.85,91178.0,84.81
2012-10-18,90.45,91.95,90.0,90.5,90.6,48809.0,44.36
2012-10-19,89.5,91.9,89.5,90.0,90.3,69905.0,63.19
2012-10-22,93.9,93.95,90.0,90.05,90.4,100085.0,90.82
2012-10-23,90.05,91.5,90.05,91.0,90.95,109340.0,99.2
2012-10-25,90.15,91.9,90.1,90.2,91.1,97544.0,88.8
2012-10-26,93.0,93.0,90.1,92.5,91.0,47743.0,43.35
2012-10-29,90.6,93.5,90.0,90.05,90.45,141214.0,128.84
2012-10-30,91.45,92.0,89.85,91.95,91.5,70669.0,63.99
2012-10-31,90.3,93.9,90.25,92.0,91.05,90331.0,82.36
2012-11-01,90.4,91.95,90.2,91.0,91.45,242428.0,221.36
2012-11-02,91.5,92.4,90.55,90.55,91.25,87911.0,80.45
2012-11-05,92.25,92.8,89.6,89.6,90.05,131096.0,119.66
2012-11-06,91.65,91.85,89.05,90.5,90.35,144364.0,130.6
2012-11-07,92.0,92.0,89.0,90.15,89.75,103564.0,93.27
2012-11-08,92.0,92.0,89.2,90.0,90.45,127290.0,114.91
2012-11-09,90.55,91.6,89.85,91.6,90.45,65396.0,59.16
2012-11-12,91.5,92.2,90.5,91.0,91.45,128633.0,117.23
2012-11-13,91.0,91.5,89.05,90.1,89.7,23481.0,21.14
2012-11-15,95.8,95.8,89.1,91.9,89.7,114058.0,103.91
2012-11-16,91.6,93.0,90.0,90.7,90.15,50148.0,45.32
2012-11-19,92.0,94.0,90.0,94.0,93.55,113294.0,102.74
2012-11-20,92.5,92.5,88.55,89.0,89.7,102440.0,92.75
2012-11-21,90.3,90.8,89.55,89.55,89.9,62933.0,56.58
2012-11-22,92.0,92.0,89.0,90.0,89.45,85711.0,77.38
2012-11-23,90.5,92.0,90.0,90.0,90.3,282265.0,255.37
2012-11-26,91.05,93.0,89.85,91.5,92.8,231837.0,210.7
2012-11-27,91.9,92.9,90.0,90.05,91.4,189604.0,172.54
2012-11-29,90.6,92.0,89.9,91.2,91.15,168873.0,153.78
2012-11-30,91.0,94.0,90.2,94.0,92.25,116952.0,107.08
2012-12-03,91.0,98.0,90.85,94.75,94.45,345422.0,322.67
2012-12-04,92.5,98.0,92.35,98.0,97.2,88075.0,83.58
2012-12-05,111.0,111.0,94.5,98.35,98.0,112032.0,108.53
2012-12-06,104.85,104.85,95.7,99.0,99.0,152969.0,152.01
2012-12-07,101.5,104.0,98.55,101.6,101.85,129861.0,131.65
2012-12-10,100.4,103.95,99.8,100.75,101.35,114677.0,116.27
2012-12-11,111.9,111.9,99.55,100.1,101.4,115970.0,118.02
2012-12-12,101.0,104.0,101.0,104.0,103.7,124183.0,126.59
2012-12-13,108.0,108.0,101.3,104.4,103.55,93367.0,96.32
2012-12-14,104.0,104.0,102.1,102.5,102.7,69871.0,71.92
2012-12-17,104.75,110.0,102.05,108.0,107.4,110704.0,117.27
2012-12-18,105.3,112.0,105.25,107.5,107.95,27237.0,29.33
2012-12-19,112.0,115.7,107.0,112.45,111.75,94178.0,103.52
2012-12-20,115.0,115.8,110.0,110.05,112.25,75521.0,84.96
2012-12-21,117.0,117.5,110.5,113.8,111.8,263875.0,296.44
2012-12-24,108.6,115.0,105.0,114.5,114.0,111361.0,124.91
2012-12-26,113.0,118.0,112.5,118.0,117.15,81102.0,93.28
2012-12-27,118.0,119.8,114.15,116.0,117.4,84060.0,98.58
2012-12-28,117.7,118.0,115.0,116.25,117.0,94390.0,110.37
2012-12-31,113.15,118.9,113.15,117.0,117.1,102277.0,119.68
2013-01-01,116.1,130.9,116.05,126.05,124.8,140316.0,173.04
2013-01-02,129.0,135.0,125.0,125.45,125.4,63168.0,80.31
2013-01-03,128.95,130.0,123.0,130.0,125.35,68828.0,85.85
2013-01-04,128.0,136.8,125.05,132.15,130.25,79553.0,102.07
2013-01-07,131.0,139.7,127.9,128.5,129.85,121425.0,161.03
2013-01-08,132.95,133.0,121.0,125.4,125.15,60903.0,77.09
2013-01-09,128.75,128.75,115.6,126.05,125.2,182855.0,223.06
2013-01-10,132.6,132.6,124.25,124.3,124.85,42186.0,53.02
2013-01-11,130.0,130.0,124.0,125.4,125.8,67054.0,83.98
2013-01-14,122.1,130.0,122.1,124.5,124.9,87544.0,110.24
2013-01-15,129.95,130.75,123.05,127.95,126.4,83717.0,105.13
2013-01-16,126.0,130.0,121.0,129.0,126.7,99628.0,126.58
2013-01-17,125.0,127.0,125.0,125.55,126.3,119466.0,150.18
2013-01-18,130.0,130.0,123.0,123.0,125.35,43673.0,55.04
2013-01-21,126.0,127.95,124.3,125.55,126.0,88235.0,110.97
2013-01-22,129.5,129.5,122.0,125.0,124.7,90530.0,114.2
2013-01-23,124.0,135.0,124.0,131.0,130.6,179094.0,229.38
2013-01-24,130.0,132.0,125.75,131.0,130.9,62631.0,80.2
2013-01-25,134.0,134.0,127.3,130.75,129.9,73257.0,94.14
2013-01-28,129.5,138.7,127.05,137.5,137.15,117405.0,153.24
2013-01-29,134.6,143.7,134.5,134.5,135.65,83954.0,114.6
2013-01-30,137.0,146.95,132.6,145.8,142.6,136298.0,186.12
2013-01-31,143.9,148.95,136.0,139.35,137.85,53804.0,75.48
2013-02-01,134.0,142.9,134.0,140.0,139.8,67094.0,93.92
2013-02-04,139.8,140.9,138.0,138.5,138.5,69274.0,96.27
2013-02-05,141.0,151.0,135.5,139.0,139.25,110391.0,156.43
2013-02-06,142.0,142.0,135.0,138.05,138.2,56620.0,79.07
2013-02-07,138.0,140.8,138.0,139.0,138.3,66638.0,92.42
2013-02-08,137.0,141.7,137.0,140.9,140.7,80489.0,112.16
2013-02-11,136.6,152.95,136.6,145.0,146.8,98408.0,139.11
2013-02-12,151.0,156.6,143.1,145.0,144.85,57267.0,83.5
2013-02-13,142.05,148.0,141.3,145.0,143.75,75736.0,108.73
2013-02-14,144.05,146.95,140.05,140.05,140.3,77095.0,109.74
2013-02-15,140.0,143.4,130.0,130.0,131.05,104205.0,143.56
2013-02-18,132.85,134.95,104.85,104.85,104.85,42471.0,48.71
2013-02-19,94.4,94.4,94.4,94.4,94.4,1358.0,1.28
2013-02-20,85.0,85.0,85.0,85.0,85.0,619.0,0.53
2013-02-21,76.5,76.5,76.5,76.5,76.5,595.0,0.46
2013-02-22,72.7,72.7,72.7,72.7,72.7,5939.0,4.32
2013-02-25,69.1,69.1,69.1,69.1,69.1,440.0,0.3
2013-02-26,65.65,65.65,65.65,65.65,65.65,135.0,0.09
2013-02-27,62.4,62.4,62.4,62.4,62.4,138.0,0.09
2013-02-28,59.3,59.3,59.3,59.3,59.3,545.0,0.32
2013-03-01,56.35,56.35,56.35,56.35,56.35,81.0,0.05
2013-03-04,53.55,53.55,53.55,53.55,53.55,52.0,0.03
2013-03-05,50.9,50.9,50.9,50.9,50.9,174.0,0.09
2013-03-06,48.4,48.4,48.4,48.4,48.4,57.0,0.03
2013-03-07,46.0,46.0,46.0,46.0,46.0,22001.0,10.12
2013-03-08,43.7,43.7,43.7,43.7,43.7,427.0,0.19
2013-03-11,41.55,41.55,41.55,41.55,41.55,71.0,0.03
2013-03-12,39.5,39.5,39.5,39.5,39.5,200.0,0.08
2013-03-13,37.55,37.55,37.55,37.55,37.55,61.0,0.02
2013-03-14,35.7,35.7,35.7,35.7,35.7,48.0,0.02
2013-03-15,33.95,33.95,33.95,33.95,33.95,107.0,0.04
2013-03-18,32.3,32.3,32.3,32.3,32.3,215.0,0.07
2013-03-19,30.7,30.7,30.7,30.7,30.7,604.0,0.19
2013-03-20,29.2,29.2,29.2,29.2,29.2,4461.0,1.3
2013-03-21,27.75,27.75,27.75,27.75,27.75,8.0,0.0
2013-03-22,26.4,26.4,26.4,26.4,26.4,210.0,0.06
2013-03-25,25.1,25.1,25.1,25.1,25.1,290.0,0.07
2013-03-26,23.85,23.85,23.85,23.85,23.85,201.0,0.05
2013-03-28,22.7,22.7,22.7,22.7,22.7,110.0,0.02
2013-04-01,21.6,21.6,21.6,21.6,21.6,138.0,0.03
2013-04-02,20.55,20.55,20.55,20.55,20.55,1657.0,0.34
2013-04-03,19.55,19.55,19.55,19.55,19.55,1241.0,0.24
2013-04-04,18.6,18.6,18.6,18.6,18.6,229.0,0.04
2013-04-05,17.7,17.7,17.7,17.7,17.7,1058.0,0.19
2013-04-08,16.85,16.85,16.85,16.85,16.85,592.0,0.1
2013-04-09,16.85,16.85,16.05,16.05,16.05,756.0,0.12
2013-04-10,15.25,15.25,15.25,15.25,15.25,90.0,0.01
2013-04-11,14.5,14.5,14.5,14.5,14.5,2320.0,0.34
2013-04-12,13.8,13.8,13.8,13.8,13.8,741.0,0.1
2013-04-15,13.15,13.15,13.15,13.15,13.15,1045.0,0.14
2013-04-16,12.5,12.5,12.5,12.5,12.5,4098.0,0.51
2013-04-17,11.9,11.9,11.9,11.9,11.9,1736.0,0.21
2013-04-18,11.35,11.35,11.35,11.35,11.35,1867.0,0.21
2013-04-22,10.8,10.8,10.8,10.8,10.8,9184.0,0.99
2013-04-23,10.3,10.3,10.3,10.3,10.3,4417.0,0.45
2013-04-25,9.8,9.8,9.8,9.8,9.8,3308.0,0.32
2013-04-26,9.35,9.35,9.35,9.35,9.35,2832.0,0.26
2013-04-29,9.35,9.35,8.9,8.9,8.9,20325.0,1.81
2013-04-30,8.5,8.5,8.5,8.5,8.5,8096.0,0.69
